JobName=PiEstimator, ID=attempt_201308081533_0001_m_000085_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976314332, FinishTime=1375976318688, ExecTime=4356 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000086_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976317777, FinishTime=1375976322286, ExecTime=4509 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000087_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976317337, FinishTime=1375976321656, ExecTime=4319 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000088_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976320784, FinishTime=1375976325337, ExecTime=4553 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000089_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976320343, FinishTime=1375976324774, ExecTime=4431 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000090_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976323790, FinishTime=1375976328313, ExecTime=4523 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000091_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976323349, FinishTime=1375976327764, ExecTime=4415 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000092_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976326796, FinishTime=1375976331280, ExecTime=4484 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000093_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976326355, FinishTime=1375976330739, ExecTime=4384 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000094_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976329803, FinishTime=1375976334378, ExecTime=4575 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000095_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976329361, FinishTime=1375976333856, ExecTime=4495 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000096_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976332809, FinishTime=1375976337310, ExecTime=4501 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000097_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976332366, FinishTime=1375976336668, ExecTime=4302 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000098_0, Type=MAP, Status=SUCCEEDED, Machine=slave1test, StartTime=1375976335816, FinishTime=1375976340377, ExecTime=4561 
JobName=PiEstimator, ID=attempt_201308081533_0001_m_000099_0, Type=MAP, Status=SUCCEEDED, Machine=mastertest, StartTime=1375976335371, FinishTime=1375976339798, ExecTime=4427 
